fips,RegionName,year,zhvi_annual,STNAME,CTYNAME,domestic_mig,population,rdomestic_mig,yoy_growth,boom_growth_2020_2022,cooling_delta_2024_vs_2022,yoy_volatility,cluster,cluster_name
12041,Gilchrist County,2023,271131.8672631861,Florida,Gilchrist County,575,19735,29.668231773,0.0665211849814229,0.4440962853742032,-0.1319692832747516,0.0813368548616895,0,Stable markets
12041,Gilchrist County,2024,286760.3438501093,Florida,Gilchrist County,337,20233,16.863490793,0.0576416071805856,0.4440962853742032,-0.1319692832747516,0.0813368548616895,0,Stable markets
12043,Glades County,2020,147318.75302084282,Florida,Glades County,-16,12079,,,0.5163758460633343,-0.205047368420435,0.0973737699722446,2,Balanced growth markets
12043,Glades County,2021,176857.94429774597,Florida,Glades County,302,12269,24.806965665,0.2005120914424514,0.5163758460633343,-0.205047368420435,0.0973737699722446,2,Balanced growth markets
12043,Glades County,2022,223390.59875297593,Florida,Glades County,252,12496,20.351302241,0.2631075162611342,0.5163758460633343,-0.205047368420435,0.0973737699722446,2,Balanced growth markets
12043,Glades County,2023,241665.5307356018,Florida,Glades County,356,12839,28.103414249,0.0818070773105101,0.5163758460633343,-0.205047368420435,0.0973737699722446,2,Balanced growth markets
12043,Glades County,2024,255696.66717811188,Florida,Glades County,318,13132,24.488852951,0.0580601478406992,0.5163758460633343,-0.205047368420435,0.0973737699722446,2,Balanced growth markets
12045,Gulf County,2020,262962.6301071725,Florida,Gulf County,91,14259,,,0.4446679275717204,-0.2045100252331981,0.0929810679254553,2,Balanced growth markets
12045,Gulf County,2021,308494.43193321343,Florida,Gulf County,342,14462,23.815326764,0.1731493247062676,0.4446679275717204,-0.2045100252331981,0.0929810679254553,2,Balanced growth markets
12045,Gulf County,2022,379893.67786573776,Florida,Gulf County,877,15302,58.93025131,0.2314441965292315,0.4446679275717204,-0.2045100252331981,0.0929810679254553,2,Balanced growth markets
12045,Gulf County,2023,407726.451727554,Florida,Gulf County,531,15757,34.19298754,0.0732646408284081,0.4446679275717204,-0.2045100252331981,0.0929810679254553,2,Balanced growth markets
12045,Gulf County,2024,418708.22582030785,Florida,Gulf County,203,15876,12.834697942,0.0269341712960333,0.4446679275717204,-0.2045100252331981,0.0929810679254553,2,Balanced growth markets
12047,Hamilton County,2020,114008.84066773864,Florida,Hamilton County,-212,13736,,,0.5291952267756255,-0.1996341829495487,0.1051927041141667,2,Balanced growth markets
12047,Hamilton County,2021,140149.4350083235,Florida,Hamilton County,-569,13073,-42.4484315,0.2292856780884882,0.5291952267756255,-0.1996341829495487,0.1051927041141667,2,Balanced growth markets
12047,Hamilton County,2022,174341.77495932873,Florida,Hamilton County,175,13216,13.313553197,0.2439705871734305,0.5291952267756255,-0.1996341829495487,0.1051927041141667,2,Balanced growth markets
12047,Hamilton County,2023,185928.88297290856,Florida,Hamilton County,497,13721,36.900916954,0.0664620284856163,0.5291952267756255,-0.1996341829495487,0.1051927041141667,2,Balanced growth markets
12047,Hamilton County,2024,194172.30108529024,Florida,Hamilton County,621,14334,44.270183568,0.0443364042238818,0.5291952267756255,-0.1996341829495487,0.1051927041141667,2,Balanced growth markets
12049,Hardee County,2020,132527.92986710093,Florida,Hardee County,-24,25341,,,0.4456981647751603,-0.1298650138331183,0.0792414720358869,0,Stable markets
12049,Hardee County,2021,158097.0641240709,Florida,Hardee County,-96,25328,-3.789299177,0.1929339293431256,0.4456981647751603,-0.1298650138331183,0.0792414720358869,0,Stable markets
12049,Hardee County,2022,191595.38499031897,Florida,Hardee County,288,25692,11.289690318,0.2118845220298295,0.4456981647751603,-0.1298650138331183,0.0792414720358869,0,Stable markets
12049,Hardee County,2023,201704.2454919952,Florida,Hardee County,79,25944,3.0598807034,0.0527615031133814,0.4456981647751603,-0.1298650138331183,0.0792414720358869,0,Stable markets
12049,Hardee County,2024,218247.92850843736,Florida,Hardee County,-56,26068,-2.153349227,0.0820195081967112,0.4456981647751603,-0.1298650138331183,0.0792414720358869,0,Stable markets
12051,Hendry County,2020,160592.31675117768,Florida,Hendry County,62,39723,,,0.4991284751298843,-0.1892928060412988,0.08693582187122,2,Balanced growth markets
12051,Hendry County,2021,192706.0548365504,Florida,Hendry County,294,40221,7.355148604,0.1999705760215779,0.4991284751298843,-0.1892928060412988,0.08693582187122,2,Balanced growth markets
12051,Hendry County,2022,240748.5149287684,Florida,Hendry County,756,41725,18.451175164,0.2493043621954001,0.4991284751298843,-0.1892928060412988,0.08693582187122,2,Balanced growth markets
12051,Hendry County,2023,265435.6044271841,Florida,Hendry County,1354,44111,31.548534414,0.1025430603620545,0.4991284751298843,-0.1892928060412988,0.08693582187122,2,Balanced growth markets
12051,Hendry County,2024,281364.8081075639,Florida,Hendry County,856,46130,18.971420973,0.0600115561541012,0.4991284751298843,-0.1892928060412988,0.08693582187122,2,Balanced growth markets
12053,Hernando County,2020,192284.9792427151,Florida,Hernando County,1667,195629,,,0.5952217200341636,-0.2809013136553204,0.1423396213110902,1,Migration boom markets
12053,Hernando County,2021,235855.33677399848,Florida,Hernando County,7218,200727,36.421802622,0.2265926215499438,0.5952217200341636,-0.2809013136553204,0.1423396213110902,1,Migration boom markets
12053,Hernando County,2022,306737.17532429745,Florida,Hernando County,7530,207169,36.921175986,0.300530992937503,0.5952217200341636,-0.2809013136553204,0.1423396213110902,1,Migration boom markets
12053,Hernando County,2023,314622.2949957323,Florida,Hernando County,6873,213415,32.68312632,0.025706436342769,0.5952217200341636,-0.2809013136553204,0.1423396213110902,1,Migration boom markets
12053,Hernando County,2024,320798.2297415228,Florida,Hernando County,5344,218150,24.765678403,0.0196296792821826,0.5952217200341636,-0.2809013136553204,0.1423396213110902,1,Migration boom markets
12055,Highlands County,2020,144904.40711307758,Florida,Highlands County,407,101340,,,0.4707577595000241,-0.1984139965957301,0.0955626820624108,2,Balanced growth markets
12055,Highlands County,2021,171863.97408924234,Florida,Highlands County,3305,103286,32.302835417,0.186050704138533,0.4707577595000241,-0.1984139965957301,0.0955626820624108,2,Balanced growth markets
12055,Highlands County,2022,213119.28114730935,Florida,Highlands County,3231,105954,30.88319633,0.2400462765782707,0.4707577595000241,-0.1984139965957301,0.0955626820624108,2,Balanced growth markets
12055,Highlands County,2023,226736.7382278637,Florida,Highlands County,2608,108151,24.361878518,0.0638959413115789,0.4707577595000241,-0.1984139965957301,0.0955626820624108,2,Balanced growth markets
12055,Highlands County,2024,236176.30559609417,Florida,Highlands County,2047,109778,18.785934869,0.0416322799825406,0.4707577595000241,-0.1984139965957301,0.0955626820624108,2,Balanced growth markets
12057,Hillsborough County,2020,249052.41130846788,Florida,Hillsborough County,5514,1466320,,,0.516208550863799,-0.2561154937423073,0.1272748944517537,2,Balanced growth markets
12057,Hillsborough County,2021,296556.9721573843,Florida,Hillsborough County,11703,1484844,7.9311078612,0.1907412202890857,0.516208550863799,-0.2561154937423073,0.1272748944517537,2,Balanced growth markets
12057,Hillsborough County,2022,377615.3956391469,Florida,Hillsborough County,15886,1523839,10.560102211,0.2733317071997365,0.516208550863799,-0.2561154937423073,0.1272748944517537,2,Balanced growth markets
12057,Hillsborough County,2023,385834.1675928211,Florida,Hillsborough County,3458,1557313,2.2446150011,0.0217649281480254,0.516208550863799,-0.2561154937423073,0.1272748944517537,2,Balanced growth markets
12057,Hillsborough County,2024,392476.77098126867,Florida,Hillsborough County,-11188,1581426,-7.128977593,0.0172162134574291,0.516208550863799,-0.2561154937423073,0.1272748944517537,2,Balanced growth markets
12059,Holmes County,2020,133970.97671908696,Florida,Holmes County,-48,19569,,,0.4074457236529984,-0.1257112496590189,0.106601037624636,0,Stable markets
12059,Holmes County,2021,160933.66556184937,Florida,Holmes County,-276,19136,-14.26172329,0.2012576865756403,0.4074457236529984,-0.1257112496590189,0.106601037624636,0,Stable markets
12059,Holmes County,2022,188556.87827689436,Florida,Holmes County,336,19324,17.472698908,0.1716434694916517,0.4074457236529984,-0.1257112496590189,0.106601037624636,0,Stable markets
12059,Holmes County,2023,183715.9775403838,Florida,Holmes County,427,19662,21.905299338,-0.0256734242778549,0.4074457236529984,-0.1257112496590189,0.106601037624636,0,Stable markets
12059,Holmes County,2024,192154.46020753577,Florida,Holmes County,304,19876,15.377611412,0.0459322198326328,0.4074457236529984,-0.1257112496590189,0.106601037624636,0,Stable markets
12061,Indian River County,2020,248905.9449705225,Florida,Indian River County,1108,160452,,,0.4829772529582632,-0.2665453089981429,0.1229363603753705,2,Balanced growth markets
12061,Indian River County,2021,290630.7869039937,Florida,Indian River County,4892,163903,30.164480276,0.1676329664942819,0.4829772529582632,-0.2665453089981429,0.1229363603753705,2,Balanced growth markets
12061,Indian River County,2022,369121.8545173661,Florida,Indian River County,4396,167698,26.513792178,0.2700714141454703,0.4829772529582632,-0.2665453089981429,0.1229363603753705,2,Balanced growth markets
12061,Indian River County,2023,382566.80083570274,Florida,Indian River County,3172,170487,18.758963289,0.0364241405752476,0.4829772529582632,-0.2665453089981429,0.1229363603753705,2,Balanced growth markets
12061,Indian River County,2024,383915.7716013261,Florida,Indian River County,1946,172139,11.359324745,0.0035261051473274,0.4829772529582632,-0.2665453089981429,0.1229363603753705,2,Balanced growth markets
12063,Jackson County,2020,121028.99895442608,Florida,Jackson County,-137,47106,,,0.3845120845128582,-0.1296241166561889,0.0912558656424083,0,Stable markets
12063,Jackson County,2021,144674.27638154305,Florida,Jackson County,353,47138,7.4911930733,0.1953686937129892,0.3845120845128582,-0.1296241166561889,0.0912558656424083,0,Stable markets
12063,Jackson County,2022,167566.111628897,Florida,Jackson County,1259,48294,26.385279571,0.1582301693148429,0.3845120845128582,-0.1296241166561889,0.0912558656424083,0,Stable markets
12063,Jackson County,2023,169904.68626876347,Florida,Jackson County,553,48731,11.399123937,0.0139561312077565,0.3845120845128582,-0.1296241166561889,0.0912558656424083,0,Stable markets
12063,Jackson County,2024,174764.98867111982,Florida,Jackson County,1353,49980,27.413358187,0.028606052658654,0.3845120845128582,-0.1296241166561889,0.0912558656424083,0,Stable markets
12065,Jefferson County,2020,187604.77475506128,Florida,Jefferson County,-61,14402,,,0.3874266590358135,-0.1424351340689278,0.0741038805935193,0,Stable markets
